module_id	present	fraction
M00938	16208	0.7577018372212613
M00939	1112	0.05198447945397597
M00940	0	0.0
M00941	0	0.0
M00942	0	0.0
M00943	0	0.0
M00944	0	0.0
M00945	0	0.0
M00946	0	0.0
M00947	631	0.029498387172175213
M00948	2983	0.1394511710532467
M00949	256	0.011967649946239072
M00950	6181	0.2889532981160301
M00951	88	0.004113879669019681
M00952	0	0.0
M00953	0	0.0
M00956	243	0.01135991772240662
M00957	1123	0.05249871441260343
M00958	6184	0.2890935440138376
M00959	8389	0.39217427890234213
M00960	361	0.016876256369501193
M00961	0	0.0
M00962	0	0.0
M00963	0	0.0
M00964	0	0.0
M00965	0	0.0
M00966	8	0.000373989060819971
M00967	36	0.0016829507736898697
M00968	0	0.0
M00969	0	0.0
M00970	13003	0.6078724697302604
M00971	0	0.0
M00972	2302	0.10761535225094666
