sample	species_sylph	species_miniphy	filename_in_tar_xz	tar_xz	tar_xz_url	tar_xz_md5	tar_xz_size_MB
SAMN03436211	Abiotrophia sp001815865	abiotrophia_sp001815865	atb.assembly.r0.2.batch.92/SAMN03436211.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN02194524	Acaricomes phytoseiuli	acaricomes_phytoseiuli	atb.assembly.r0.2.batch.92/SAMN02194524.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMD00467986	Acaryochloris marina	acaryochloris_marina	atb.assembly.r0.2.batch.92/SAMD00467986.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN14421317	Acerihabitans sp018449575	acerihabitans_sp018449575	atb.assembly.r0.2.batch.92/SAMN14421317.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN05192585	Acetanaerobacterium elongatum	acetanaerobacterium_elongatum	atb.assembly.r0.2.batch.92/SAMN05192585.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA3545291	Acetatifactor intestinalis	acetatifactor_intestinalis	atb.assembly.r0.2.batch.92/SAMEA3545291.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA104446630	Acetatifactor intestinalis	acetatifactor_intestinalis	atb.assembly.r0.2.batch.92/SAMEA104446630.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMD00113756	Acetatifactor sp900066565	acetatifactor_sp900066565	atb.assembly.r0.2.batch.92/SAMD00113756.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA3539476	Acetatifactor sp900066565	acetatifactor_sp900066565	atb.assembly.r0.2.batch.92/SAMEA3539476.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA6160258	Acetatifactor sp900066565	acetatifactor_sp900066565	atb.assembly.r0.2.batch.92/SAMEA6160258.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
